Oberkategorie,Unterkategorie,CF,MF
3D-Reparatur,Pavillon,"55,25","180,93"
Computer,Adapter,"2,52","47,87"
Computer,Beamer,"40,69","166,55"
Computer,Computermaus,"2,56","35,27"
Computer,DVD Laufwerk,"7,87","123,15"
Computer,Diskettenlaufwerk,"4,49","70,37"
Computer,Festplatte,"15,29","165,79"
Computer,Gameboy,"15,05","149,87"
Computer,Grafiktablett / Zeichentablett,"178,35","693,92"
Computer,Kopierer,"339,11","1387,95"
Computer,Mainboard,"128,34","2538,71"
Computer,Monitor,"62,43","1504,71"
Computer,NAS / Netzwerkspeicher,"53,18","576,66"
Computer,Netzteil,"4,42","28,73"
Computer,Nintendo Switch,"27,36","272,49"
Computer,Platine,"32,08","634,68"
Computer,Router,"15,09","287,23"
Computer,Schachcomputer,"29,61","396,91"
Computer,Schrittzähler,"11,89","46,26"
Computer,Single-Board-Computer,"21,39","423,12"
Computer,Smartwatch,"9,51","37,01"
Computer,Taschenrechner,"10,06","191,49"
Computer,Tastatur,"30,16","416,2"
Computer,Time Capsule,"70,42","1340,42"
Computer,USB-Hub,"5,03","95,74"
Computer,USB-Soundkarte,"3,52","67,02"
Computer,USB-Stick,"1,01","19,15"
Computer,Desktopcomputer,"223,06","2990,06"
Computer,Laptop,"170,97","1703,09"
Computer,Bildschirm,"62,43","1504,71"
Computer,Drucker,"94,95","388,63"
Computer,Scanner,"54,26","222,07"
Elektro divers,3D-Drucker,"67,82","277,59"
Elektro divers,Akku,"0,69","6,19"
Elektro divers,"Akku, mechanisch","2,75","24,76"
Elektro divers,Akkuschrauber,"9,38","31,49"
Elektro divers,Aktenvernichter,"67,82","277,59"
Elektro divers,Alarmanlage,"50,3","957,44"
Elektro divers,Anrufbeantworter,"40,24","765,95"
Elektro divers,Anzeigetafel,"635,34","5790,34"
Elektro divers,Armbanduhr,"0,1","0,22"
Elektro divers,Autobatterie-Ladegerät,"17,67","114,91"
Elektro divers,Autodisplay,"63,53","579,03"
Elektro divers,Autoschlüssel,"0,66","12,16"
Elektro divers,Außenstrahler,"74,95","1415,29"
Elektro divers,Babyphone,"12,58","239,36"
Elektro divers,Badewannenlifter,"19,02","27,65"
Elektro divers,Bandschleifer,"18,76","62,98"
Elektro divers,Bandsäge,"93,81","314,92"
Elektro divers,Batterietester,"0,88","5,75"
Elektro divers,Beatmungsgerät,"35,41","171,11"
Elektro divers,Betonmischer,"169,6","833,15"
Elektro divers,Bewegungsmelder,"10,06","191,49"
Elektro divers,Bewegungsmelder,"10,06","191,49"
Elektro divers,Blitzgerät,"24,98","471,76"
Elektro divers,Blueray Player,"33,71","527,77"
Elektro divers,Bluetooth Musik Box,"37,73","718,08"
Elektro divers,Blutdruckmessgerät,"20,12","382,98"
Elektro divers,Bohrhammer,"21,89","73,48"
Elektro divers,Bohrmaschine,"15,64","52,49"
Elektro divers,Bootsmotor,"101,64","361,89"
Elektro divers,DJ Controller,"100,6","1914,88"
Elektro divers,Deckenbeleuchtung,"149,89","2830,57"
Elektro divers,Dekopiersäge,"15,64","52,49"
Elektro divers,Deltaschleifer,"9,38","31,49"
Elektro divers,Desinfektionsgerät,"50,3","957,44"
Elektro divers,Dickenhobel,"125,08","419,89"
Elektro divers,Diktiergerät,"10,06","191,49"
Elektro divers,Dimmerpack,"75,45","1436,16"
Elektro divers,Dreieckschleifer,"9,38","31,49"
Elektro divers,Dremel,"4,38","14,7"
Elektro divers,Drohne,"75,45","1436,16"
Elektro divers,Drumcomputer,"39,48","529,21"
Elektro divers,Dunstabzugshaube,"41,98","489,14"
Elektro divers,E-Auto,,
Elektro divers,E-Gehrungssäge,"75,05","251,94"
Elektro divers,E-Grill,"7,58","35,72"
Elektro divers,E-Ladegerät,"4,42","28,73"
Elektro divers,E-Ladekabel,"1,78","93,87"
Elektro divers,E-Piano,"553,31","10531,86"
Elektro divers,E-Zigarette,"0,37","2,37"
Elektro divers,Elektrische Höhenverstellung,,
Elektro divers,Elektrohobel,"9,38","31,49"
Elektro divers,Elektrokamin,"30,33","142,88"
Elektro divers,Elektrokochtopf,"7,58","35,72"
Elektro divers,Epilierer,"1,47","9,5"
Elektro divers,Etikettiergerät,"25,15","478,72"
Elektro divers,Falzmaschine,"135,64","555,18"
Elektro divers,Faxgerät,"40,69","166,55"
Elektro divers,Fitnesstracker / Pulsuhr,"9,51","37,01"
Elektro divers,Fitnesstrainer,"427,65","1239,15"
Elektro divers,Fledermausdetektor,"25,15","478,72"
Elektro divers,Flex,"12,51","41,99"
Elektro divers,Frequenzumrichter,"37,42","700,68"
Elektro divers,Funkfernbedienung,"5,03","95,74"
Elektro divers,Funkgerät Walkie Talkie,"15,09","287,23"
Elektro divers,Funksteckdose,"5,03","95,74"
Elektro divers,Funkuhr,"5,03","95,74"
Elektro divers,Fußpflegegerät,"3,67","23,74"
Elektro divers,Fußschalter,"0,19","0,28"
Elektro divers,Garagenöffner,"25,15","478,72"
Elektro divers,Garten,,
Elektro divers,Gartenhexler,"50,88","249,95"
Elektro divers,Gartenhäcksler,"50,88","249,95"
Elektro divers,Gasheizung Regelung,"7,01","60,28"
Elektro divers,Gasofen,"30,33","142,88"
Elektro divers,Gefrierfach,"95,56","427,64"
Elektro divers,Getreidemühle,"23,5","156,79"
Elektro divers,Globus,"3,8","5,53"
Elektro divers,Graviergerät,"2,62","30,57"
Elektro divers,Grillofen,"30,33","142,88"
Elektro divers,Handkreissäge,"18,76","62,98"
Elektro divers,Haussprechanlage,"50,3","957,44"
Elektro divers,Heckenschere,"15,74","183,43"
Elektro divers,Heiz-Socken,"1,24","6,96"
Elektro divers,Heizdecke / Heizkissen,"2,06","11,59"
Elektro divers,Heizlüfter,"36,3","419,35"
Elektro divers,Heizstein,"20,6","115,94"
Elektro divers,Heizstrahler,"149,89","2830,57"
Elektro divers,Heizung,"52,61","452,13"
Elektro divers,Heißklebemaschine,"1,24","6,96"
Elektro divers,Heißklebepistole,"1,24","6,96"
Elektro divers,Heißluftpistole,"6,18","34,78"
Elektro divers,Holzfigur beleuchtet,"4,03","14,86"
Elektro divers,Holzspalter,"169,6","833,15"
Elektro divers,Hornhautentferner,"2,2","14,24"
Elektro divers,Hoverboard,"71,5","415,27"
Elektro divers,Hupe,"25,15","478,72"
Elektro divers,Hörgerät,"2,68","51,34"
Elektro divers,Induktive Ladeschale,"0,88","5,75"
Elektro divers,Inverter,"12,47","233,56"
Elektro divers,Kabel,"0,59","31,29"
Elektro divers,Kabeltrommel,"29,62","1564,54"
Elektro divers,"Kamera, analog","118,9","462,61"
Elektro divers,Kappsäge,"62,54","209,95"
Elektro divers,Katzenklappe,"0,57","0,83"
Elektro divers,Kehrmaschine,"70,81","342,21"
Elektro divers,Klimagerät,"172,29","2722,04"
